TechCenterShort,PriorArtScore,approval_rate
Biotech,0,0.03940829321323187
Biotech,1,0.024193548387096774
Biotech,3,0.03078721745908028
Biotech,4,0.047619047619047616
Biotech,6,0.023074423139421516
Business,0,0.08962287650077218
Business,1,0.05331088664421998
Business,3,0.07358009890603927
Business,4,0.09873417721518987
Business,6,0.08760429082240763
Chemical,0,0.05411923596372757
Chemical,1,0.03383128295254833
Chemical,3,0.0484645736833076
Chemical,4,0.07093425605536333
Chemical,6,0.04773752138081169
Crypto,0,0.0942206540559966
Crypto,1,0.04589917231000752
Crypto,3,0.07780879274249826
Crypto,4,0.07174887892376682
Crypto,6,0.08817384036773925
Design,0,0.0
Design,6,0.0
Mechanical,0,0.07502195134548835
Mechanical,1,0.04286977018267531
Mechanical,3,0.059109418100617366
Mechanical,4,0.06320907617504051
Mechanical,6,0.07818550617739259
Networking,0,0.062098417175991225
Networking,1,0.038834951456310676
Networking,3,0.060941828254847646
Networking,4,0.08860759493670886
Networking,6,0.04795050270688322
Semiconductors,0,0.12341978365697902
Semiconductors,1,0.0721240533717995
Semiconductors,3,0.10154444849811504
Semiconductors,4,0.10609037328094302
Semiconductors,6,0.1100305944055944
Software,0,0.05464391872633251
Software,1,0.0325497287522604
Software,3,0.06885660138976626
Software,4,0.06666666666666667
Software,6,0.051166290443942816
